# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
1.003000000000000000000000000000e+03;4.290055108372305414654590549617e-01;2.623324663986490584699495798304e-03;5.258250564738559205274492924787e-04;1.410196364380936984161962755024e+00;8.430660714118692888874306845537e-02;2.848753210968291149640663206810e-01;2.964068276441705201973420003014e-02;2.451705664743209032302440064655e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.215809969578127767975399969869e-06
1.004000000000000000000000000000e+03;4.290536301881157088544682665088e-01;2.616419596183697498376075074589e-03;5.258062982957350910140359445677e-04;1.464737534764129156528156272543e+00;9.855055032755995203519461256292e-02;2.848753210968291149640663206810e-01;2.963851536028128813571314026376e-02;2.013937641656418902486036515143e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.634652955560917998961527330959e-06
1.005000000000000000000000000000e+03;4.291141130711392248642255253799e-01;2.610763035777858426245146006295e-03;5.257909009629276823188925860109e-04;1.295796828492460139869990598527e+00;8.824093627751837531913992052068e-02;2.848753210968291149640663206810e-01;2.963673963774088315759058787080e-02;2.536985152351215258570427124596e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.311733529037905531075981074851e-06
1.006000000000000000000000000000e+03;4.291684425711871364583771537582e-01;2.603653806439982978243596889456e-03;5.257715094640115233853849829870e-04;1.368025292562264239037972402002e+00;9.254037328810096885156610824197e-02;2.848753210968291149640663206810e-01;2.963450762439017588389944535265e-02;2.285153376527807467938346874803e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.974874143547902841420256178639e-06
1.007000000000000000000000000000e+03;4.292236699343527916994389670435e-01;2.597268515658048611965957874759e-03;5.257540551073134824089372330036e-04;1.372433653007550047320250996563e+00;9.029619804075456057645965302072e-02;2.848753210968291149640663206810e-01;2.963250264709698170162432973029e-02;2.328699866577350289370551550405e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.024129422939225478295620364033e-06
1.008000000000000000000000000000e+03;4.292790745756523973497564838908e-01;2.590778343149872844225489743053e-03;5.257362775166588052602745229080e-04;1.315350210856358170730118217762e+00;9.344186265600848417811619128770e-02;2.848753210968291149640663206810e-01;2.963046449284778907640180989347e-02;2.342096919310407854980526920485e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.033926988053719613059027587765e-06
1.009000000000000000000000000000e+03;4.293395302739005381376102832292e-01;2.584267989282905929326883409658e-03;5.257184076509829537271478727689e-04;1.367904907149795956655680129188e+00;8.192837090554472290193643857492e-02;2.848753210968291149640663206810e-01;2.962841975354906995376857992142e-02;2.562151534723678021621129374807e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.310643097439235355824776671496e-06
1.010000000000000000000000000000e+03;4.293838983835864819837979666772e-01;2.577164853490767487675938696157e-03;5.256988682992920665359992682397e-04;1.457635204667065087491550912091e+00;1.041869994372699448348384976271e-01;2.848753210968291149640663206810e-01;2.962618855357017355611759512612e-02;1.885546777689959402346531192052e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.429682442537666286325702402760e-06
1.011000000000000000000000000000e+03;4.294366654622343570935072420980e-01;2.571952395438219240997312908803e-03;5.256845020707761250919332063347e-04;1.366693728711274369302941522619e+00;9.305178840772526660529706532543e-02;2.848753210968291149640663206810e-01;2.962455105579039210672576132310e-02;2.247110817518510866158676364535e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.889731024965934282029223281740e-06
1.012000000000000000000000000000e+03;4.294885290104493713592148651514e-01;2.565753754997851174279865915651e-03;5.256673866795930289211313812814e-04;1.363622624718079823225025393185e+00;9.442674453629140707278111221967e-02;2.848753210968291149640663206810e-01;2.962260354112547511284958545730e-02;2.214028710391147646008302984910e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.840326238679568427700260560553e-06
1.013000000000000000000000000000e+03;4.295469577189727772292826557532e-01;2.559661831983050996747186545122e-03;5.256505332301991554114217741756e-04;1.390957237036465787838324104086e+00;8.177683512354341766048548834078e-02;2.848753210968291149640663206810e-01;2.962068933636036183187911774439e-02;2.500322367002213476416816462233e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.199989865234542830177378799905e-06
1.014000000000000000000000000000e+03;4.296040847379647420467563279090e-01;2.552799448376421188183771349145e-03;5.256315092426262942926218357798e-04;1.367856033834053075537440236076e+00;8.459485324300049235990428542209e-02;2.848753210968291149640663206810e-01;2.961853277721968741298397276296e-02;2.451262696003411647310832321978e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.128791029091604893551652882833e-06
1.015000000000000000000000000000e+03;4.296568811311032298760892444989e-01;2.546090650627989837584408405746e-03;5.256128712348363991868627209669e-04;1.457318873900425471035191549163e+00;8.546159405038346312810659810566e-02;2.848753210968291149640663206810e-01;2.961642421719944129332446891567e-02;2.271463560119003303322537945519e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.891676066830581013115345628828e-06
1.016000000000000000000000000000e+03;4.297078627387364013756609892880e-01;2.539891045571299188488012532616e-03;5.255956129254616988194515059263e-04;1.450997998754473883309401571751e+00;8.845469853357884604250216398214e-02;2.848753210968291149640663206810e-01;2.961447546103371936121462226765e-02;2.198795590625560528175164165532e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.792350615835759197644024356966e-06
1.017000000000000000000000000000e+03;4.297581684038893623522881171084e-01;2.533905106002463242242939145399e-03;5.255789175382018446960885604824e-04;1.488535540490204311936395242810e+00;8.696896468947967751006444814266e-02;2.848753210968291149640663206810e-01;2.961259365393822257095379768543e-02;2.174825060459031032811250128134e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.755400162679627336197174525267e-06
