iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
25,0.03406739919961433,0.00018651502782472335,0.033869374391549724,0.003300637654813212,3.1718028582359324e-06,2.322199555238714e-07,0.0015757006841287304,5.81629768405697e-05,0.0001,0.0,401881.0
26,0.03439878323226336,0.00021134581117142505,0.032778559221580426,0.0039001480885170517,2.8579944493961523e-06,4.878114849076651e-07,0.0014655399336842016,0.00014590382983444133,0.0001,0.0,417262.8
27,0.03477433302751613,0.00018101664297570804,0.03542348363463314,0.003918744360417317,3.568181809338993e-06,7.047677455601408e-07,0.0016625969594995312,0.00016704728577962588,0.0001,0.0,432632.8
28,0.035128275624618344,0.0001716760540470743,0.032918426297758395,0.0019438240959082657,3.1068422654800186e-06,3.473639606014506e-07,0.0015615526280555196,8.916334349634569e-05,0.0001,0.0,448001.2
29,0.03552523829454132,0.00017153675050759733,0.034302409596494665,0.00267218489213069,3.4599387902368008e-06,5.100773297948617e-07,0.0016445259964031262,0.00012323554057005592,0.0001,0.0,463356.4
30,0.03590476492027507,0.0001717862120812236,0.036394358502527174,0.00149030183069958,3.5831274669694618e-06,2.777029615895668e-07,0.0016732647256129153,6.512833130566756e-05,0.0001,0.0,478719.4
31,0.03627982519165556,0.00015251411622886526,0.03364884595051437,0.0034831573321000204,3.2997154799343365e-06,3.4230423659809134e-07,0.001606281412440806,8.33300913881637e-05,0.0001,0.0,494085.8
32,0.03665561951368217,0.0001487480669904376,0.03462223175314834,0.003050613256905756,3.4815059391854618e-06,5.711576025451385e-07,0.0016485119177018289,0.0001379415410006602,0.0001,0.0,509433.0
33,0.03701931629353625,0.0001254212663287877,0.03406351177539942,0.0006956153440121772,3.3229167821895843e-06,2.0274095197980045e-07,0.0016156850942206365,5.2472913479993594e-05,0.0001,0.0,524815.6
34,0.037383909911375135,0.00010023139145665058,0.03603407955982082,0.0034608765017173433,3.223715661952144e-06,5.576350673706389e-07,0.0015594628937338091,0.00017778076075677607,0.0001,0.0,540155.8
35,0.03777580134995577,0.00016719362440378068,0.03741727528306562,0.00660222856357639,3.632806227098597e-06,1.0035121264673438e-06,0.00167734106839022,0.0002262438770064802,0.0001,0.0,555489.6
36,0.038196483004687184,0.00018168024307386633,0.03921792756940178,0.0024177275217049485,3.867749403715079e-06,3.828606805166631e-07,0.0017448909097563686,8.715235164337952e-05,0.0001,0.0,570784.8
37,0.03864410598091998,0.00016647935259578428,0.03976490073376517,0.0025868060386552067,4.2960812809328434e-06,4.1251163636652194e-07,0.0018385373815975894,9.057661532538037e-05,0.0001,0.0,586071.8
38,0.039058594109923093,0.00016716384723881804,0.038304786875413346,0.0030640610983348883,3.6733389489606542e-06,1.9060413705123707e-07,0.0017055955496334233,4.026117853457544e-05,0.0001,0.0,601383.4
39,0.039473011953103584,0.000159950008464411,0.035833310694827133,0.0009736719129450843,3.632653028858971e-06,2.7178936436195613e-07,0.0016918197012604779,6.350816948085147e-05,0.0001,0.0,616714.8
40,0.03989884243201208,0.0001618846933476052,0.03879751891697233,0.0020525643911518785,3.733794558051572e-06,1.2252583315003074e-07,0.001719762743960521,2.6030366457857277e-05,0.0001,0.0,632006.6
41,0.040327465035025566,0.00017681012511544804,0.037186138888534684,0.003012187194168729,3.6565801214951493e-06,3.5441942409988064e-07,0.0017017512539380885,8.331433303650166e-05,0.0001,0.0,647327.0
42,0.04077403427036906,0.0001712864841047513,0.04057328239211415,0.00433713052476735,4.25327200012899e-06,7.394097126459748e-07,0.001826177854040437,0.00016214054826884823,0.0001,0.0,662612.8
43,0.04121251744085174,0.00016933322276408412,0.041658450495075695,0.0028367179042193213,4.28005169867193e-06,5.202683241984145e-07,0.0018369820223989842,0.00011447258779308754,0.0001,0.0,677869.4
44,0.04171579573114242,0.0001716810332037972,0.043433662419139686,0.002939435638913186,4.701512760816302e-06,4.959418540532068e-07,0.0019316541935742032,9.867957067050318e-05,0.0001,0.0,693114.8
45,0.042179771665066035,0.00015301619784246294,0.043441306700124846,0.0024858128394892732,4.366643132137909e-06,4.820804358838548e-07,0.001856810216372802,0.00010316129046130217,0.0001,0.0,708335.4
46,0.04263753436504455,0.00017442396227497337,0.04340631931374792,0.0009410548778635633,4.1969109111361824e-06,3.606528476415343e-07,0.001821797292056232,7.67768323957191e-05,0.0001,0.0,723563.2
47,0.04310767302078518,0.00015171197965799393,0.04203511184097021,0.002886494224632862,4.260604123417615e-06,3.375738790281549e-07,0.0018386582097768014,7.454505984188573e-05,0.0001,0.0,738798.0
48,0.0435557411062006,0.00014944591270790627,0.0418038361874354,0.002175657148673636,3.929607389184385e-06,2.886263726085377e-07,0.001770418223319762,6.302141646055782e-05,0.0001,0.0,754040.6
49,0.04404028017250135,0.00015485245183043898,0.043760377363064255,0.002684545156020353,4.3938473397237076e-06,2.9476732568398315e-07,0.0018683463726999084,6.22127100505409e-05,0.0001,0.0,769243.4
50,0.044499704536252294,0.00015441402419829386,0.042834931094560894,0.0034249760011177267,4.306195681726632e-06,2.4198079009165697e-07,0.0018486031526582368,4.839679800092202e-05,0.0001,0.0,784495.0
51,0.04497721200877811,0.00014765873111054334,0.04251531087954643,0.002757227045635399,4.3712278330792605e-06,5.943335599199984e-07,0.0018594997505705078,0.00012928480559835657,0.0001,0.0,799746.6
52,0.04548765770596389,0.00011811594242910102,0.046658614566004744,0.004255548406545553,4.623866910369981e-06,6.438478949428072e-07,0.0019175959131820096,0.00013471919732165562,0.0001,0.0,814881.6
53,0.045978825173978874,9.911114484326654e-05,0.04511223679685398,0.0014557395727960414,4.412230106727641e-06,4.6301229056216037e-07,0.0018748367032606233,9.631753018639845e-05,0.0001,0.0,830090.6
54,0.04645848843417536,0.00011638691027556324,0.045927767913238146,0.0033858558963595154,4.302596589827312e-06,3.8510521041808e-07,0.0018516546777871165,8.347318914124591e-05,0.0001,0.0,845225.6
55,0.04697203428086097,0.00012087268119125524,0.04927146506481552,0.003077157161103453,4.655890951294476e-06,3.077089963544348e-07,0.0019279640549258003,6.21502842159058e-05,0.0001,0.0,860336.2
56,0.04743639086621745,0.0001320987610372521,0.04857155423857763,0.004177141830885334,4.440265527829707e-06,4.6471496714212715e-07,0.001845346888720803,0.00012992907210076038,0.0001,0.0,875474.8
57,0.047952795354764474,0.0001227612889984294,0.04632745473000643,0.0019974680705038012,4.619472230033302e-06,3.090841222327209e-07,0.0019270241057831,6.23965803293378e-05,0.0001,0.0,890645.4
58,0.048454420865527856,0.0001416908720535948,0.047678474324655516,0.0023254066946244638,4.653408438352492e-06,6.251116984404278e-07,0.0018939689821820568,0.00017173369409474666,0.0001,0.0,905790.4
59,0.04891677658953294,0.00020267992696880265,0.04552586568494002,0.0018004225570290575,4.246320384162029e-06,6.187748444294688e-07,0.0018086359287429591,0.00018810386957640672,0.0001,0.0,920998.8
60,0.049434176079342244,0.00021565778696067806,0.04784418105009913,0.004314424033554528,4.650463985908171e-06,4.4113907977297504e-07,0.0019332794483395716,8.433028267726063e-05,0.0001,0.0,936132.4
61,0.049985332194799816,0.00020688067688647225,0.05069989695398763,0.002727824748936981,5.152931064656054e-06,4.585992446819575e-07,0.002033100576381812,9.091552987170293e-05,0.0001,0.0,951228.8
62,0.05051247945957025,0.00024467282613833594,0.05092727130538123,0.004025631777228022,4.863079773545892e-06,7.62795712689217e-07,0.0019412501119309936,0.00021914325940526543,0.0001,0.0,966293.0
63,0.051025229213016075,0.0002480096932928347,0.0486827780963353,0.0023944936232738363,4.510411507950656e-06,4.002106057300213e-07,0.0019046322750550545,8.342442306850152e-05,0.0001,0.0,981416.8
64,0.051571406095365355,0.00025243518773206917,0.0535544927536851,0.004296234164642464,5.0425242779062425e-06,5.9871607153643e-07,0.0019770474278883936,0.0001484215299352176,0.0001,0.0,996468.0
65,0.052132108058545665,0.0002571487521114973,0.05020814784078829,0.00237887668721255,5.268258456010367e-06,6.460336736782324e-07,0.0020559948124507,0.00013152802011881238,0.0001,0.0,1011559.4
66,0.05264104206001252,0.00025780372599460463,0.05114684833959774,0.004200824340549125,4.760442010543886e-06,7.97892848266318e-07,0.0019203368245009045,0.0002227416813298937,0.0001,0.0,1026646.4
67,0.053179637224972834,0.00026840283310714495,0.05335899027773119,0.0029436823702284846,5.082762499051354e-06,2.6388805179568056e-07,0.0019855937558140736,8.357588919327325e-05,0.0001,0.0,1041695.0
68,0.05374828168033384,0.0002896288289254,0.05724077896436036,0.004740928660930657,5.522702177094811e-06,6.155759755227868e-07,0.002108093172126241,0.00011888458384822627,0.0001,0.0,1056681.6
69,0.054346043869978586,0.0003290216705742158,0.05439268171548924,0.004336691207037302,5.325732470179408e-06,6.099248284553725e-07,0.0020742148305253486,0.00011714396464986677,0.0001,0.0,1071695.0
70,0.0549076704155375,0.0003536912871695686,0.05447164992265606,0.004004245389714266,5.031272789217615e-06,4.733460424924173e-07,0.0019853302576941737,0.00015055448015332987,0.0001,0.0,1086707.2
71,0.0554683544227456,0.00033991595377305537,0.05289861701010885,0.0025886638560804645,5.229258393912714e-06,4.5984451679741295e-07,0.002054006236991655,9.499022117739748e-05,0.0001,0.0,1101769.8
72,0.0560807319878648,0.00032991737151943023,0.05603649956248154,0.0034191439844506884,5.529223497015367e-06,6.821142536785378e-07,0.002118371998275053,0.0001278988521898626,0.0001,0.0,1116767.0
73,0.05666638285634675,0.00032574337376671547,0.05991052205634798,0.004340969093063544,5.553472216389306e-06,4.2045665502267956e-07,0.0020819665536220707,0.0001384483280133849,0.0001,0.0,1131686.0
74,0.057263035116997485,0.00035915694695638507,0.05421404762253344,0.00406212460413224,5.143367227885438e-06,6.137609183031133e-07,0.002045099468278968,0.0001238876672999447,0.0001,0.0,1146708.0
75,0.05790488347265523,0.0003573825371369723,0.057160412920510564,0.0033976294292039073,6.0017610815751155e-06,4.068472707828535e-07,0.0022134148065236633,7.705923157327798e-05,0.0001,0.0,1161692.2
76,0.05849489683018805,0.00036803250006390447,0.05941551962296574,0.003619335135034202,5.484711859552152e-06,2.88520281215938e-07,0.0020769839671999487,0.00010738666074500643,0.0001,0.0,1176645.0
77,0.059099720451229354,0.00037850029969043304,0.058076632541440375,0.005484800485800292,5.5753430183072415e-06,8.3357604663896e-07,0.0020899759877571742,0.0001809538263981361,0.0001,0.0,1191568.6
78,0.05970037591796782,0.00038416427835680163,0.0579139657135234,0.0027659537248294615,5.4479631652594075e-06,2.3512611241908985e-07,0.0021090841848998175,4.909838270118067e-05,0.0001,0.0,1206526.6
79,0.06032640587184403,0.00042702985151783535,0.05991810585135342,0.005781781534345777,5.737673514290256e-06,9.188001232540869e-07,0.0021268953678520294,0.00021764003761634313,0.0001,0.0,1221449.6
80,0.06093747799819589,0.0004075091492608657,0.06268152420152087,0.0025839495725396185,5.771162133291559e-06,9.155522285070061e-07,0.0020928065282628484,0.00022564209610901681,0.0001,0.0,1236341.0
81,0.06158999820344346,0.00037487554277685085,0.06493849151941629,0.003748128947809737,6.245052084712879e-06,8.710806128358303e-07,0.0022569380704687792,0.00016246450486678918,0.0001,0.0,1251182.4
82,0.06222101393797898,0.00038213361311521116,0.060946343114735214,0.002811290698738027,5.724881366188347e-06,2.7526331947421173e-07,0.0021608816910787363,5.183142707109757e-05,0.0001,0.0,1266091.0
83,0.06285065890854041,0.00032909047803018475,0.062110155323293094,0.00203229548141048,5.850045071257922e-06,5.831426130021551e-07,0.0021530124911343556,0.0001654450187312906,0.0001,0.0,1280951.2
84,0.06348818244591667,0.0003225378765630912,0.061404707646949774,0.002555200152743677,5.939624769594332e-06,2.555563444268794e-07,0.0022036289617199277,4.7946809649956927e-05,0.0001,0.0,1295872.4
85,0.06413939667394189,0.00032984669686856173,0.06216129681517864,0.0066656861451273,5.799266231920036e-06,9.53888174323603e-07,0.0021742436092857037,0.0001778565544867403,0.0001,0.0,1310736.2
86,0.06477840544866362,0.00036304256760573205,0.06244788407046031,0.0011760199140637775,5.908099712674213e-06,4.7639652553980277e-07,0.0021636017354712453,0.000159808272201646,0.0001,0.0,1325614.0
87,0.06545910169395386,0.0003777924353116213,0.06612178279630629,0.0014790125964405825,6.326488490040231e-06,4.4903670747776917e-07,0.0022824722523087084,8.651676774298043e-05,0.0001,0.0,1340426.0
88,0.06613417322525161,0.000399493168892765,0.06738567541032883,0.003323225904291349,6.365836310556074e-06,7.419501342349069e-07,0.002251981016361283,0.00019555491025083092,0.0001,0.0,1355199.8
89,0.0667866261311985,0.0003940988571442285,0.06728317031621553,0.0027372003622920453,5.979494771498103e-06,6.096968060746441e-07,0.002182120561952646,0.00014842364419478902,0.0001,0.0,1369996.8
90,0.06745866274145687,0.0004310097758680655,0.06929680106474527,0.009751645855483694,6.594802325441577e-06,1.3668884624231822e-06,0.0023136237764606205,0.0002523267487690889,0.0001,0.0,1384766.0
91,0.06812491993682217,0.00045869328121261383,0.06878007746115491,0.0034575101262602076,6.266384314378532e-06,3.3003242924605573e-07,0.0022680745335524046,6.224986442225312e-05,0.0001,0.0,1399523.8
92,0.06877813541340126,0.0004215944228967387,0.06690425901931929,0.0039928920629536515,6.098913762754104e-06,9.303408435876407e-07,0.0021698686302209186,0.00024283331355373479,0.0001,0.0,1414329.0
