iteration;state_coverage;state_entropy;reward_mean;reward_std;model_tv_mean;model_tv_max
0;0.19068736141906872;0.5293274696113414;0.0090918634150985;0.07157997652031457;0.0;0.0
1;0.19068736141906872;0.529794912560712;0.009198154950997307;0.07207768779561727;0.0;0.0
2;0.19068736141906872;0.5302600263105601;0.009305684122522914;0.0725783020549664;0.0;0.0
3;0.19068736141906872;0.5307221031925836;0.009414310072310052;0.0730811190078697;0.0;0.0
4;0.19068736141906872;0.5311816059915005;0.009524163971756185;0.07358670249376831;0.0;0.0
5;0.19068736141906872;0.5316379187718917;0.009635121023198238;0.07409443529511685;0.0;0.0
6;0.19068736141906872;0.5320909756335681;0.009747184463553497;0.07460429490078267;0.0;0.0
7;0.19068736141906872;0.5325407106258326;0.00986035731829404;0.075116258178395;0.0;0.0
8;0.19068736141906872;0.5329870577716934;0.009974642396985263;0.07563030137699632;0.0;0.0
9;0.19068736141906872;0.5334299510924312;0.010090042288899998;0.0761464001301212;0.0;0.0
10;0.19068736141906872;0.5338693246325121;0.010206559358714038;0.07666452945930537;0.0;0.0
11;0.19068736141906872;0.5343051124848225;0.010324195742289058;0.07718466377802873;0.0;0.0
12;0.19068736141906872;0.5347372488162067;0.010442953342548678;0.07770677689609366;0.0;0.0
13;0.19068736141906872;0.5351656678932935;0.010562833825453671;0.07823084202444117;0.0;0.0
14;0.19068736141906872;0.5355903041085915;0.010683838616082134;0.07875683178040609;0.0;0.0
15;0.19068736141906872;0.5360110920068272;0.010805968894820356;0.07928471819341154;0.0;0.0
16;0.19068736141906872;0.5364279663115122;0.010929225593670292;0.07981447271110334;0.0;0.0
17;0.19068736141906872;0.5368408619517157;0.011053609392679221;0.08034606620592376;0.0;0.0
18;0.19068736141906872;0.5372497140890179;0.011179120716497366;0.08087946898212377;0.0;0.0
19;0.19068736141906872;0.5376544581446252;0.01130575973106887;0.08141465078321171;0.0;0.0
20;0.19068736141906872;0.5380550298266226;0.011433526340461804;0.08195158079983696;0.0;0.0
21;0.19068736141906872;0.5384513651573376;0.011562420183842344;0.08249022767810518;0.0;0.0
22;0.19068736141906872;0.5388434005007979;0.011692440632598625;0.08303055952832218;0.0;0.0
23;0.19068736141906872;0.5392310725902488;0.011823586787619078;0.08357254393416205;0.0;0.0
24;0.19068736141906872;0.5396143185557151;0.011955857476730579;0.08411614796225543;0.0;0.0
25;0.19068736141906872;0.539993075951576;0.012089251252300953;0.08466133817219222;0.0;0.0
26;0.19068736141906872;0.5403672827841283;0.012223766389010664;0.08520808062693352;0.0;0.0
27;0.19068736141906872;0.5407368775391143;0.012359400881798113;0.08575634090362567;0.0;0.0
28;0.19068736141906872;0.5411017992091857;0.012496152443982882;0.08630608410481004;0.0;0.0
29;0.19068736141906872;0.5414619873212791;0.012634018505571073;0.08685727487002085;0.0;0.0
30;0.19068736141906872;0.5418173819638733;0.012772996211746523;0.08740987738776244;0.0;0.0
31;0.19068736141906872;0.542167923814107;0.012913082421551782;0.08796385540785787;0.0;0.0
32;0.19068736141906872;0.5425135541647255;0.013054273706762142;0.08851917225415906;0.0;0.0
33;0.19068736141906872;0.5428542149508282;0.013196566350956033;0.08907579083760882;0.0;0.0
34;0.19068736141906872;0.5431898487763994;0.013339956348784801;0.08963367366964435;0.0;0.0
35;0.19068736141906872;0.5435203989405849;0.013484439405444557;0.09019278287593148;0.0;0.0
36;0.19068736141906872;0.5438458094636903;0.013630010936352568;0.09075308021041764;0.0;0.0
37;0.19068736141906872;0.5441660251128815;0.013776666067030407;0.09131452706969219;0.0;0.0
38;0.19068736141906872;0.5444809914275517;0.013924399633195887;0.0918770845076417;0.0;0.0
39;0.19068736141906872;0.544790654744335;0.014073206181065273;0.09244071325038683;0.0;0.0
40;0.19068736141906872;0.5450949622217373;0.01422307996786728;0.0930053737114879;0.0;0.0
41;0.19068736141906872;0.5453938618643638;0.014374014962569858;0.09357102600740552;0.0;0.0
42;0.19068736141906872;0.5456873025467088;0.014526004846820553;0.09413762997320169;0.0;0.0
43;0.19068736141906872;0.5459752340364965;0.014679043016101005;0.09470514517846727;0.0;0.0
44;0.19068736141906872;0.5462576070175345;0.014833122581095617;0.09527353094346117;0.0;0.0
45;0.19068736141906872;0.5465343731120681;0.014988236369274465;0.09584274635544529;0.0;0.0
46;0.19068736141906872;0.5468054849026054;0.01514437692668977;0.09641275028520076;0.0;0.0
47;0.19068736141906872;0.5470708959531919;0.015301536519985458;0.09698350140370898;0.0;0.0
48;0.19068736141906872;0.5473305608301152;0.015459707138618594;0.09755495819898201;0.0;0.0
49;0.19068736141906872;0.5475844351220162;0.01561888049729134;0.09812707899302568;0.0;0.0
50;0.19068736141906872;0.5478324754593856;0.015779048038591856;0.0986998219589195;0.0;0.0
51;0.19068736141906872;0.5480746395334319;0.015940200935842176;0.0992731451379966;0.0;0.0
52;0.19068736141906872;0.5483108861142911;0.016102330096150676;0.09984700645710669;0.0;0.0
53;0.19068736141906872;0.5485411750685738;0.01626542616366672;0.10042136374594635;0.0;0.0
54;0.19068736141906872;0.5487654673762195;0.01642947952303453;0.10099617475443845;0.0;0.0
55;0.19068736141906872;0.5489837251466508;0.016594480303043207;0.10157139717014498;0.0;0.0
56;0.19068736141906872;0.5491959116342073;0.01676041838046937;0.10214698863569563;0.0;0.0
57;0.19068736141906872;0.5494019912528476;0.016927283384108836;0.10272290676621584;0.0;0.0
58;0.19068736141906872;0.5496019295901031;0.01709506469899319;0.1032991091667369;0.0;0.0
59;0.19068736141906872;0.5497956934202743;0.017263751470787268;0.1038755534495721;0.0;0.0
60;0.19068736141906872;0.5499832507168539;0.017433332610362708;0.10445219725164151;0.0;0.0
61;0.19068736141906872;0.550164570664173;0.017603796798543167;0.10502899825172955;0.0;0.0
62;0.19068736141906872;0.5503396236682508;0.01777513249101596;0.10560591418765852;0.0;0.0
63;0.19068736141906872;0.5505083813668502;0.017947327923405035;0.10618290287336232;0.0;0.0
64;0.19068736141906872;0.5506708166387261;0.018120371116499938;0.10675992221584438;0.0;0.0
65;0.19068736141906872;0.5508269036120587;0.01829424988163485;0.10733693023200354;0.0;0.0
66;0.19068736141906872;0.550976617672071;0.01846895182621217;0.10791388506531345;0.0;0.0
67;0.19068736141906872;0.5511199354678242;0.01864446435936449;0.10849074500233963;0.0;0.0
68;0.19068736141906872;0.5512568349181901;0.01882077469774875;0.10906746848907943;0.0;0.0
69;0.19068736141906872;0.5513872952169913;0.018997869871466313;0.10964401414711104;0.0;0.0
70;0.19068736141906872;0.5515112968373188;0.01917573673010232;0.11022034078953641;0.0;0.0
71;0.19068736141906872;0.5516288215350214;0.01935436194887789;0.1107964074367055;0.0;0.0
72;0.19068736141906872;0.5517398523513641;0.01953373203490815;0.1113721733317074;0.0;0.0
73;0.19068736141906872;0.5518443736148707;0.01971383333355961;0.11194759795561682;0.0;0.0
74;0.19068736141906872;0.551942370942338;0.019894652034899422;0.11252264104248161;0.0;0.0
75;0.19068736141906872;0.5520338312390374;0.020076174180229965;0.11309726259404138;0.0;0.0
76;0.19068736141906872;0.5521187426981056;0.020258385668701327;0.11367142289416414;0.0;0.0
77;0.19068736141906872;0.55219709479913;0.020441272263994593;0.11424508252299041;0.0;0.0
78;0.19068736141906872;0.552268878305937;0.020624819601068867;0.11481820237077477;0.0;0.0
79;0.19068736141906872;0.5523340852635904;0.020809013192964528;0.11539074365141372;0.0;0.0
80;0.19068736141906872;0.552392708994612;0.020993838437655725;0.1159626679156516;0.0;0.0
81;0.19068736141906872;0.5524447440944283;0.021179280624944632;0.11653393706395429;0.0;0.0
82;0.19068736141906872;0.552490186426064;0.021365324943390426;0.11710451335904347;0.0;0.0
83;0.19068736141906872;0.5525290331140834;0.021551956487265593;0.11767435943808263;0.0;0.0
84;0.19068736141906872;0.5525612825377991;0.02173916026353243;0.11824343832450783;0.0;0.0
85;0.19068736141906872;0.5525869343237598;0.021926921198832598;0.11881171343949637;0.0;0.0
86;0.19068736141906872;0.5526059893375297;0.022115224146482763;0.1193791486130672;0.0;0.0
87;0.19068736141906872;0.5526184496747755;0.022304053893469004;0.11994570809480723;0.0;0.0
88;0.19068736141906872;0.5526243186516778;0.022493395167433518;0.12051135656421838;0.0;0.0
89;0.19068736141906872;0.5526236007946804;0.022683232643646325;0.12107605914068109;0.0;0.0
90;0.19068736141906872;0.5526163018295938;0.022873550951955555;0.12163978139302974;0.0;0.0
91;0.19068736141906872;0.552602428670074;0.023064334683709584;0.12220248934873686;0.0;0.0
92;0.19068736141906872;0.5525819894054925;0.023255568398644646;0.12276414950270367;0.0;0.0
