iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.045838335498769714,5.16798132540057e-05,0.044882982335974465,0.0022623527917083846,4.522930170017224e-06,6.03614177158778e-07,0.0018579668202674438,0.00012714513962395918,0.0001,0.0,30363.8
1,0.04643386381949638,9.04764203117876e-05,0.04817987026970895,0.0023714129385213807,4.807821633420593e-06,5.954353268122752e-07,0.0019164864911151685,0.00012032928778012364,0.0,0.0,60598.0
2,0.04703601667626103,9.077169189740542e-05,0.04844617688820711,0.0013345906708798398,4.729294202221355e-06,3.3860626493335327e-07,0.0019050792890393613,7.023306616663893e-05,0.0,0.0,90792.6
3,0.04761484703746942,0.00011532714668164004,0.04652537794786467,0.0011278664728261905,4.334767872977986e-06,3.606215204209698e-07,0.0018239641739342658,7.468017166026834e-05,0.0,0.0,121047.2
4,0.04819701970610257,0.00016255932608126073,0.04617790406004184,0.003166664987233223,4.353568427387698e-06,6.010795168810264e-07,0.0018266367869261423,0.0001265879249447211,0.0,0.0,151333.0
5,0.048793415664516115,0.00014620437905830242,0.04716055229740038,0.0019501104615469087,4.5703620192925405e-06,3.011459307995699e-07,0.0018740381768298695,5.975850557914534e-05,0.0,0.0,181585.8
6,0.04941244593328009,0.00016162776990282776,0.049230901238538044,0.002133380234346727,4.844759247719523e-06,3.998892958389462e-07,0.0019311386453938217,7.79875579938864e-05,0.0,0.0,211786.8
7,0.05004718344660315,0.00015271988697621817,0.05067177942730792,0.0021168014076122536,4.859472072850193e-06,4.145701870722781e-07,0.0019329278116291897,8.265128996229549e-05,0.0,0.0,241930.0
8,0.05067781036520595,0.00014224071732164346,0.05055532901992268,0.0023051948630053603,4.970439141697353e-06,3.1563740990282157e-07,0.00195752171054402,6.313415899276364e-05,0.0,0.0,272121.2
9,0.05130783838185725,0.00011193352762204486,0.04998776476324836,0.0025946019313192216,4.8380612168956275e-06,8.689272578170739e-07,0.0019265317938510535,0.00016862399273197729,0.0,0.0,302273.6
10,0.05193568397118094,8.98021961928875e-05,0.05056619646697441,0.004070069291080917,4.871845400270894e-06,3.9844149079355697e-07,0.0019387842875630758,7.995681096488396e-05,0.0,0.0,332416.4
11,0.052568733180837636,8.490236858550764e-05,0.049766345478755206,0.001829509690089178,4.663168546851119e-06,2.4554000538575916e-07,0.0018996250852421292,5.027779568856001e-05,0.0,0.0,362550.4
12,0.05322198217175863,0.00010897231178528661,0.05203310014315523,0.0027653959541559634,5.002379542281114e-06,4.2421940529260285e-07,0.0019672301792401114,8.43646571089505e-05,0.0,0.0,392596.2
13,0.0538404430336266,0.00012999363146264271,0.05146076803858268,0.0008915250035089041,4.699137047846885e-06,1.162543249135236e-07,0.001869055849241819,8.15889004108573e-05,0.0,0.0,422693.2
14,0.05452711229041194,0.00013899367228484787,0.053858135403807364,0.0021827936823775504,5.440244762028316e-06,5.633317248028672e-07,0.0020514854642088532,0.00010582241086273476,0.0,0.0,452698.8
15,0.05520214823210653,0.00014644574778108687,0.055915073990390016,0.0024750741096624482,5.312012311702013e-06,4.018395271727059e-07,0.00203052051124297,7.664092423447897e-05,0.0,0.0,482643.6
16,0.0558884306997476,0.0001454084715385609,0.0560637243340321,0.0022982864499746544,5.291777992345644e-06,3.9313660772856016e-07,0.002026624838571655,7.704000290248715e-05,0.0,0.0,512580.8
17,0.05657048582884193,0.0001611528118586081,0.05489396645084178,0.002629250706310791,5.128119254274339e-06,4.707493100109491e-07,0.0019957044852388175,9.532476474718041e-05,0.0,0.0,542551.8
18,0.057244788952994244,0.0001801942471414315,0.057728281091296976,0.004819585716293021,5.20115041171959e-06,6.657086319040445e-07,0.00197120214502429,0.00017922781190972533,0.0,0.0,572416.2
19,0.057966547691417535,0.0002086319393485722,0.057340566385392686,0.0033409066539945914,5.670144731026772e-06,2.908220621413867e-07,0.0021038001663165697,5.687820048149004e-05,0.0,0.0,602312.6
20,0.05867521329419043,0.00023622606306221238,0.05756114253801862,0.0028812921495841273,5.449141160154259e-06,5.08576914222707e-07,0.0020595406796270993,9.634673999954916e-05,0.0,0.0,632164.8
21,0.05940864484852604,0.0002464025705116119,0.0605801936431775,0.002819991061849129,5.8208115303925425e-06,1.6059796865040834e-07,0.002133322002592699,3.129419668234137e-05,0.0,0.0,661952.4
22,0.0601464857736243,0.00022862062922463688,0.060243771538974214,0.003370950042552329,5.881945345161354e-06,6.721215857632881e-07,0.0021407378037611386,0.00012122002707709139,0.0,0.0,691748.8
23,0.06086970026553553,0.00022628883053533153,0.059090272601454163,0.004703242400173802,5.534156025283685e-06,5.699613729702213e-07,0.0020791029054193,0.00010902327449920027,0.0,0.0,721571.6
24,0.06163487795973357,0.00022858724687858876,0.06176382878834959,0.0019914303636103647,6.075310281393481e-06,4.60722441399443e-07,0.0021808452053151783,8.237512745480323e-05,0.0,0.0,751309.0
25,0.06238060303224694,0.00025980459213252724,0.06158198089989072,0.002984640494007437,5.820966580579051e-06,5.612177681523643e-07,0.0021337761145998955,0.00010586409780827965,0.0,0.0,781039.6
26,0.06312924481712531,0.00027571432607231556,0.06142889628919579,0.001086832050755518,5.822386174981983e-06,5.593737027840185e-07,0.0020988123362848015,0.0001678692138083657,0.0,0.0,810749.6
27,0.06390754402997431,0.0003101113750985415,0.06340060883456716,0.006568307388918078,6.206403256854496e-06,8.098356367418501e-07,0.0022040451455831245,0.00014739650098045362,0.0,0.0,840454.4
28,0.06462065744955,0.00033480684167374436,0.06316997909533707,0.002420766849852167,5.510609070527282e-06,5.291325484851119e-07,0.0020413556622923485,0.00016317587187817173,0.0,0.0,870152.2
29,0.06538262559985175,0.00034772807667652857,0.062173985118465794,0.005369733674627389,6.091080525112039e-06,4.471742991568775e-07,0.002187728565280097,8.218459263167203e-05,2e-05,4e-05,899858.4
30,0.06621160320896616,0.0003705198856424538,0.06558913137670716,0.0029045132607537893,6.751894613171102e-06,4.91689768802831e-07,0.002306737367234997,8.506566544901647e-05,4e-05,4.898979485566357e-05,929482.6
31,0.06699815570359864,0.00038151738838336567,0.06648490051240549,0.0020004429850826876,6.179506652606306e-06,2.5070132119463654e-07,0.0022098933470224916,4.515778713172063e-05,2e-05,4e-05,959054.2
32,0.0678114590122324,0.0003637260339227841,0.06645154090921336,0.002119592121863341,6.434682971042567e-06,4.172557769917561e-07,0.0022537423859493233,7.511078422184694e-05,4e-05,4.898979485566357e-05,988573.8
33,0.06865210266389248,0.00037186008030520883,0.06951262157092475,0.0023304213176951515,6.867440458467092e-06,3.159412298982707e-07,0.0023323470776156104,5.2833659625551656e-05,4e-05,4.898979485566357e-05,1018029.0
34,0.06951510550503007,0.00035139843787355556,0.06905550271265698,0.0020029431186798477,7.033324406639521e-06,4.868196681326167e-07,0.0023623798396022835,8.32731408594674e-05,4e-05,4.898979485566357e-05,1047458.8
35,0.07034898374796017,0.00036734144568572957,0.07037166749836415,0.005587382464742026,6.9107387287600575e-06,8.489456620252148e-07,0.0023365946582604063,0.00014595104755349495,4e-05,4.898979485566357e-05,1076918.2
36,0.07116936299948043,0.00041580760407405,0.07080787034146312,0.002263192923938608,6.539000177650739e-06,7.85471641915315e-07,0.0022371018006058585,0.00020537088076921802,4e-05,4.898979485566357e-05,1106342.4
37,0.07199698313632204,0.00045282039099659436,0.07075053794485603,0.002493918489925639,6.5526211206951296e-06,5.440795085027471e-07,0.002279573847075498,9.441368235607456e-05,4e-05,4.898979485566357e-05,1135786.2
38,0.07284670312709383,0.00046813967892759054,0.0707939276980688,0.004406758523649617,6.809638211086554e-06,5.862587441246275e-07,0.0023257967341349254,9.843070980505674e-05,6.000000000000001e-05,4.898979485566356e-05,1165211.0
39,0.07366204222787434,0.00041544448297328366,0.0723519125660954,0.0023960646925974393,6.47735608608106e-06,5.463670816545022e-07,0.0022299531295863467,0.0001753569750786095,0.0,0.0,1194566.6
40,0.0745076307834747,0.0003801438626838091,0.07200477903326621,0.0021948011080345905,6.888898725448286e-06,6.671371607365981e-07,0.0023015994957820765,0.0001776839247220871,0.0,0.0,1223910.0
41,0.07537587636112213,0.00034890083590144715,0.07217195471981952,0.0043025154955703025,6.748650898378862e-06,6.666779542813166e-07,0.002324830499805603,0.00010917928879661326,0.0,0.0,1253256.4
42,0.07628381402423365,0.00033799029491952737,0.0763738469202073,0.003857286356466002,7.3718882889567775e-06,7.972869028648483e-07,0.002428026306186753,0.00013225609978806475,0.0,0.0,1282445.0
43,0.07713637827467174,0.00033957296737313804,0.07752676026300771,0.004015023022501583,6.959674855493196e-06,6.327385115306305e-07,0.0022764975003696777,0.0002009703274216171,0.0,0.0,1311593.4
44,0.07803581841416317,0.0003303710311921825,0.07976538467110636,0.0021105446836110803,7.35109428609214e-06,2.9484494739924624e-07,0.002427165718352179,4.815343783859142e-05,0.0,0.0,1340700.2
45,0.07893071013433588,0.0002955865185753617,0.07777988591403151,0.004874901760998118,7.032873619699807e-06,6.016836029249983e-07,0.00237365908246655,0.00010266276616448231,0.0,0.0,1369876.2
46,0.07979471705683669,0.00035069904335610565,0.07643643028084947,0.004832676173185583,6.757088808436609e-06,6.966979562346171e-07,0.002289345472711333,0.00015241484667386293,0.0,0.0,1399111.8
47,0.08072597363124337,0.0003961774629203771,0.08265949215827331,0.0028656352130910553,7.631987615395425e-06,9.092674040416201e-07,0.0024730469099686295,0.00015136507168440997,0.0,0.0,1428081.6
48,0.08163979433116916,0.0004331142401227409,0.08354358415912343,0.0030831011803946094,7.5871262970265525e-06,6.028150987714421e-07,0.0024269986162478276,0.0001717853594910305,0.0,0.0,1457024.2
49,0.08253241654453325,0.0004749847992751162,0.08243418494804464,0.003793913746113537,7.342152183662207e-06,7.852921690372931e-07,0.0023868442181172937,0.0002135561058171872,6.000000000000001e-05,4.898979485566356e-05,1486026.6
50,0.08342182751936819,0.00048701666949397437,0.08327302807550854,0.003979793774174796,7.171025847427247e-06,7.264184339061961e-07,0.0023591067930963526,0.00018017504162961916,6.000000000000001e-05,4.898979485566356e-05,1515013.2
51,0.08431768414137099,0.0005132334548966174,0.08145846662608502,0.0012831376651296557,7.233057532265405e-06,6.475298897323691e-07,0.00237724157273459,0.00018727714308064782,6.000000000000001e-05,4.898979485566356e-05,1544027.2
52,0.0852563728503923,0.0005431340177771329,0.08467069418015752,0.004864904818046258,7.948938602837003e-06,1.315087930039592e-06,0.0025244869645053964,0.00021346656930045996,6.000000000000001e-05,4.898979485566356e-05,1572963.2
53,0.08614413687776426,0.0005872041598277385,0.0856466579569585,0.003825472156494986,6.966229825472047e-06,5.426662250941056e-07,0.0022923255719191236,0.00017329600175497952,6.000000000000001e-05,4.898979485566356e-05,1601797.6
54,0.08707002516511479,0.0006054619286085163,0.08667862431222825,0.003887242570116476,7.551683944343177e-06,8.845334781531972e-07,0.00243014574136884,0.00020654646795686903,6.000000000000001e-05,4.898979485566356e-05,1630640.4
55,0.08804816909786653,0.0006198373830419955,0.08837257745433463,0.002921568881801223,8.140272916069454e-06,7.146608465589486e-07,0.0025676299069630373,0.00011405123817777626,6.000000000000001e-05,4.898979485566356e-05,1659370.2
56,0.0890444641538269,0.0006698294258712219,0.08685790783316202,0.002695478581182555,8.219086554344642e-06,7.428816460443873e-07,0.002587408916658494,0.00012463676327061123,6.000000000000001e-05,4.898979485566356e-05,1688190.8
57,0.089998180770993,0.000692975010533526,0.0872493881958535,0.002987480148148382,7.903638323919569e-06,3.18215014928497e-07,0.0025307646882494037,5.083453802294531e-05,6.000000000000001e-05,4.898979485566356e-05,1716987.8
58,0.09100125816554365,0.000684224644453409,0.08951932093987602,0.002437466082039746,8.187452208142275e-06,6.415141338286509e-07,0.0025860581604060726,9.868788783816605e-05,6.000000000000001e-05,4.898979485566356e-05,1745704.6
59,0.09201088620757263,0.0006954914429294861,0.09183156612091745,0.002949625173700363,8.15885004024197e-06,3.945523348705752e-07,0.002584916002957097,6.015592952015351e-05,4e-05,4.898979485566357e-05,1774372.0
60,0.09299573246023143,0.0007027145037431214,0.09152061408032035,0.00420067064994848,8.194074777698117e-06,3.3052454964584447e-07,0.002586248588879055,5.596938826569628e-05,4e-05,4.898979485566357e-05,1803015.8
61,0.0939431967318253,0.0006335312634724641,0.09050461485424534,0.00188233668032636,7.781363431735384e-06,6.855834121233093e-07,0.002478014934503244,0.00019268471609674311,4e-05,4.898979485566357e-05,1831705.8
62,0.09495539062647904,0.0006552384476315868,0.09505475160946267,0.0031067131987939124,8.27976751686756e-06,3.829021914546384e-07,0.002608508155653238,6.0239066514595064e-05,4e-05,4.898979485566357e-05,1860219.0
63,0.0959530865797952,0.0006742520824494283,0.09559372535728775,0.007166779318171233,8.24839475927126e-06,5.631305652418869e-07,0.0025562410571683164,0.00012181764331868283,4e-05,4.898979485566357e-05,1888749.0
64,0.09699523988458378,0.0006744987902280897,0.09771719352232178,0.0037364323955042396,8.594338999098511e-06,2.708827179177917e-07,0.002657942614905949,4.176587368730496e-05,4e-05,4.898979485566357e-05,1917193.6
65,0.09800377806747289,0.0006750351826609307,0.09794106531618826,0.002679191153345946,8.412604313256842e-06,6.035132033833487e-07,0.002584422443442437,0.00015905377377446031,4e-05,4.898979485566357e-05,1945598.6
66,0.09901028651754923,0.0006210815746450152,0.09731109049275197,0.003984924308806992,8.370741021340787e-06,1.0643512155991027e-06,0.002581638458727669,0.00023016164776524137,4e-05,4.898979485566357e-05,1974051.6
67,0.10003229435401191,0.0006234043204397811,0.09985256369507228,0.004136357017243275,8.55791780223421e-06,4.140069489925722e-07,0.00261252163186954,9.739183566400623e-05,4e-05,4.898979485566357e-05,2002400.2
68,0.10108942722454131,0.0006374974620497361,0.0986828347546225,0.0009739353156672059,8.646297512112712e-06,3.785480246638082e-07,0.0026781215442903466,5.678327811170512e-05,4e-05,4.898979485566357e-05,2030821.0
69,0.10209326781903597,0.0006292939859589361,0.10119741101639299,0.004718369206387084,8.409046891557955e-06,6.562382517860317e-07,0.0025881254934108076,0.00016610962567830165,6.000000000000001e-05,4.898979485566356e-05,2059136.4
70,0.10309637319949014,0.0005583742321358273,0.0995402887351598,0.0035198354658977807,8.292668886517529e-06,8.054476031193559e-07,0.0025752185940617666,0.00020158277044514077,8e-05,4e-05,2087480.6
71,0.1042045850849513,0.0005781528238607452,0.10200531733918772,0.003992016022268168,9.364032354087048e-06,6.582036088095889e-07,0.002792710173680471,0.00010161133182420022,6.000000000000001e-05,4.898979485566356e-05,2115741.6
72,0.10519519182664239,0.0006083268429319392,0.10007256249005617,0.0029842735448064543,8.188291104773618e-06,9.054420887211624e-07,0.002560187868998058,0.00021807130535415593,6.000000000000001e-05,4.898979485566356e-05,2144093.0
73,0.10619199336988697,0.0006574922473438738,0.10290110101486549,0.0012018880769052998,8.236651127254154e-06,9.518296842983611e-07,0.0025307164030222455,0.00023652683360094365,6.000000000000001e-05,4.898979485566356e-05,2172298.6
