# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
1.000000000000000000000000000000e+01;3.996641625823922905347274081578e-01;1.654711189530638226763414877496e-01;-5.769868361500928846327673760186e-04;1.498834453090620577597746887477e+00;1.498834453090619689419327187352e+00;2.753168157194994455916337017243e-02;2.753168157194992721192861040436e-02;7.781088579375905023120807424419e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.437727169511182673169308321448e-06
1.100000000000000000000000000000e+01;3.997785107252572744940266602498e-01;1.654765518331346163538597693332e-01;-5.773283107477998870454838353794e-04;1.498717827454167261791440068919e+00;1.498717827454166817702230218856e+00;2.753168157194994455916337017243e-02;2.753168157194994108971641821881e-02;7.782555142196045548305671779588e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.439151946909160348624795444650e-06
1.200000000000000000000000000000e+01;3.998928844653022451893775723875e-01;1.654819824644961634430018193598e-01;-5.776698692277953744653173906443e-04;1.498601188912819903720219372190e+00;1.498601188912819459631009522127e+00;2.753168157194994455916337017243e-02;2.753168157194993762026946626520e-02;7.784022095597252640600954842753e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.440577039634376052231520132230e-06
1.300000000000000000000000000000e+01;4.000072838082249226943076791940e-01;1.654874108462685289300253543843e-01;-5.780115116095633272935705448958e-04;1.498484537465149868395997145853e+00;1.498484537465149646351392220822e+00;2.753168157194994455916337017243e-02;2.753168157194994108971641821881e-02;7.785489439726586127429874828465e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.442002447756592264558293814414e-06
1.400000000000000000000000000000e+01;4.001217087597235821938568278711e-01;1.654928369775721386236710941375e-01;-5.783532379125904364369770149779e-04;1.498367873109729631053710363631e+00;1.498367873109729186964500513568e+00;2.753168157194994455916337017243e-02;2.753168157194993068137556235797e-02;7.786957174731191217136733184745e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.443428171345624829249604942349e-06
1.500000000000000000000000000000e+01;4.002361593254977201183919532923e-01;1.654982608575269187323186770300e-01;-5.786950481563731506218228872740e-04;1.498251195845130556705271374085e+00;1.498251195845130556705271374085e+00;2.753168157194994455916337017243e-02;2.753168157194994455916337017243e-02;7.788425300758282235954327310523e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.444854210471282813686363932781e-06
1.600000000000000000000000000000e+01;4.003506355112482761882120030350e-01;1.655036824852526844420452789564e-01;-5.790369423604054249093975315077e-04;1.498134505669924454451802375843e+00;1.498134505669924232407197450812e+00;2.753168157194994455916337017243e-02;2.753168157194994108971641821881e-02;7.789893817955156180531106624443e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.446280565203415942830949408870e-06
1.700000000000000000000000000000e+01;4.004651373226777444358503998956e-01;1.655091018598688346052938413777e-01;-5.793789205441892374570667101352e-04;1.498017802582682689305215717468e+00;1.498017802582682467260610792437e+00;2.753168157194994455916337017243e-02;2.753168157194994455916337017243e-02;7.791362726469169678635007247891e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.447707235611856153953847653471e-06
1.800000000000000000000000000000e+01;4.005796647654895625834114980535e-01;1.655145189804946292966292276105e-01;-5.797209827272309032308861276306e-04;1.497901086581976404232818822493e+00;1.497901086581976182188213897462e+00;2.753168157194994455916337017243e-02;2.753168157194994108971641821881e-02;7.792832026447760673196901715087e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.449134221766471806742276884350e-06
1.900000000000000000000000000000e+01;4.006942178453886116429316643917e-01;1.655199338462492453238894540846e-01;-4.664851885445557176310127367458e-04;1.497784357666376742201919114450e+00;1.497784357666377186291128964513e+00;2.214090334056026398990013603907e-02;2.214090334056018766206719305956e-02;7.794301718038444356552452152442e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;6.450561523737150742641242168185e-06
