# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
1.000000000000000000000000000000e+01;3.352149851860644624856888640352e-02;2.982393169052864612122988319243e-02;4.379140395849961190159182980142e-19;1.994730965322701887743050974677e+00;1.520923573970482278738813874952e+00;2.775557561562891351059079170227e-16;1.284925369049400836864215390359e-17;1.092271659895527888620159195909e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.628791768611227626937024148823e-05
1.100000000000000000000000000000e+01;3.379253157026076981317430636409e-02;2.991742335500497534939157162626e-02;4.407342566313519015506379752442e-19;1.991526892371494605882276118791e+00;1.521798875227145408928208780708e+00;2.775557561562891351059079170227e-16;1.285227819432033686162507250851e-17;1.096827280172899725732560405334e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.640712304412564987669137517301e-05
1.200000000000000000000000000000e+01;3.406447997244024805674200706562e-02;3.001078062357801293225101346707e-02;4.435700232673144083104974804154e-19;1.993654749053021646432171110064e+00;1.525372219576867305335099445074e+00;2.775557561562891351059079170227e-16;1.285523411137037296606962241791e-17;1.096500915236761847584845419590e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.645342421036148595689385665253e-05
1.300000000000000000000000000000e+01;3.434076246472096693995723626358e-02;3.010358332200583492133105778521e-02;4.464086617466728659994028519001e-19;1.988623216660718284742870309856e+00;1.515449118853789745031690472388e+00;2.775557561562891351059079170227e-16;1.285810831306597694217094836293e-17;1.109894807799540307827190765977e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.670590541262755585462211616044e-05
1.400000000000000000000000000000e+01;3.461830250606273695623826824885e-02;3.019698249056766703457554967827e-02;4.492857054901166615077365268296e-19;1.990738243764403225810610820190e+00;1.517198693716443447243591435836e+00;2.775557561562891351059079170227e-16;1.286093584651119194166220144909e-17;1.110873016965962557789371345507e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.677250652128262458349407248992e-05
1.500000000000000000000000000000e+01;3.489839115668715713303171810367e-02;3.028992095173406104424707052658e-02;4.521689525652195580617985419006e-19;1.987957011859534661724069337652e+00;1.515647464574933156455927019124e+00;2.775557561562891351059079170227e-16;1.286368398870544439085977838933e-17;1.116992981563193166813507950508e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.691681455759543170266900879994e-05
1.600000000000000000000000000000e+01;3.518038262234574053977098628820e-02;3.038282259395274492730365523130e-02;4.550717171126736206971561954642e-19;1.990754975700632867230410738557e+00;1.513404229744669482471408628044e+00;2.775557561562891351059079170227e-16;1.286636520200498451762527745986e-17;1.120502565015298870529369956728e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.702201532446441200317234498929e-05
1.700000000000000000000000000000e+01;3.546526239912307920665313076825e-02;3.047546179726245973995446547633e-02;4.579871842179228112938084996702e-19;1.988620132370657600517915852834e+00;1.509704311153233780018467768969e+00;2.775557561562891351059079170227e-16;1.286897267748937744985816535089e-17;1.127883020653399660793159142713e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.718637795385183759900790678721e-05
1.800000000000000000000000000000e+01;3.575263116235272847776016647003e-02;3.056814941670692176156620689653e-02;4.609254081070027982311254219486e-19;1.988565477501859746212176105473e+00;1.506662078761692447059772348439e+00;2.775557561562891351059079170227e-16;1.287151475625098288386788483615e-17;1.133628836996959611191360117743e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.732646783620537991443127934232e-05
1.900000000000000000000000000000e+01;3.604219496044597237371931441885e-02;3.066073998332283570555922835865e-02;4.638821135960058062742863894055e-19;1.987815174817562535736215068027e+00;1.505755010377612279626191593707e+00;2.775557561562891351059079170227e-16;1.287398684082374477907584617772e-17;1.138176997023651647669706399313e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.744867448037069727635045568448e-05
