# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
1.500000000000000000000000000000e+01;8.656452570359313147818625111540e-01;8.343112089177021628572106237698e-01;1.443007358502901738006585219409e+00;2.000000000000000000000000000000e+00;1.486406217271416974057274273946e+00;1.986446322160168920234468714625e+00;1.726951212026708759594839648344e+00;0.000000000000000000000000000000e+00;4.488507334581584530194819926407e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.133045036928326491400265130238e-04;7.500000000000000698226199080665e-05;6.107774324699412706908552284091e-05;1.500000000000663400324257823470e-04;1.500000000000133496512455533178e-04
1.600000000000000000000000000000e+01;8.701289654909420967499045218574e-01;8.313025232524918761711774095602e-01;1.439341839473629036660895508248e+00;2.000000000000000000000000000000e+00;1.485464776313073276270415590261e+00;1.985554704271492054701298002328e+00;1.725397176776917618212792149279e+00;0.000000000000000000000000000000e+00;4.483150370534518523203681983347e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.106437586277612373890366637141e-04;8.000000000000000654424431312250e-05;6.523827086836003720168863928563e-05;1.600000000000784822207222646284e-04;1.599999999999886289656775284485e-04
1.700000000000000000000000000000e+01;8.745999374340319709730806607695e-01;8.283125331658469647777565114666e-01;1.435696630754955682718332354852e+00;2.000000000000000000000000000000e+00;1.484527155068074311117243269109e+00;1.984664550240675007231061499624e+00;1.723847701155945877360409212997e+00;0.000000000000000000000000000000e+00;4.477823494296226370346702960745e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.078979691568003952337195805455e-04;8.500000000000000610622663543836e-05;6.940894618154287547002329050727e-05;1.700000000000572580871605055108e-04;1.699999999999931004236036757860e-04
1.800000000000000000000000000000e+01;8.790582483717079842477915008203e-01;8.253410809389575275574202350981e-01;1.432071565668484147693106933730e+00;2.000000000000000000000000000000e+00;1.483593328981643422181946334604e+00;1.983775852485538448988222626213e+00;1.722302757381556581606218969682e+00;0.000000000000000000000000000000e+00;4.472526488305876525217175121441e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.050670497481057659959480243828e-04;9.000000000000000566820895775422e-05;7.358961399689125618562429709257e-05;1.800000000000900272217885245141e-04;1.799999999999743970600929454662e-04
1.900000000000000000000000000000e+01;8.835039731682612362817508255830e-01;8.223880105578583732395259175973e-01;1.428466479313221348945717181778e+00;2.000000000000000000000000000000e+00;1.482663273718521912414303187688e+00;1.982888603480828182412665228185e+00;1.720762317912496897065466328058e+00;0.000000000000000000000000000000e+00;4.467259137098773206370205812732e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.021509159323296006202652641548e-04;9.500000000000000523019128007007e-05;7.778012125795512408249487990020e-05;1.900000000000390959487006625750e-04;1.899999999999272333895544706550e-04
2.000000000000000000000000000000e+01;8.879371860528241233723178993387e-01;8.194531676909018180765542638255e-01;1.424881208542283062001843063626e+00;2.000000000000000000000000000000e+00;1.481736965160461494406263227575e+00;1.982002795757653368369233248814e+00;1.719226355445805598520792045747e+00;0.000000000000000000000000000000e+00;4.462021227281202364819967520759e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.991494842867193065111264260736e-04;1.000000000000000047921736023859e-04;8.198031701028591234498010820175e-05;1.999999999999935856864752281581e-04;1.999999999999482118255567097975e-04
2.100000000000000000000000000000e+01;8.923579606263234431651198974578e-01;8.165363996665916390682582459704e-01;1.421315591939978695279478415614e+00;2.000000000000000000000000000000e+00;1.480814379403758263009649454034e+00;1.981118421902933190992257550533e+00;1.717694842914159636393378605135e+00;0.000000000000000000000000000000e+00;4.456812547505667964319042706478e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.960626724195659768314181636839e-04;1.050000000000000043541559247018e-04;8.619005236944330859086976781569e-05;2.100000000001327421592783872839e-04;2.100000000000473612381951538097e-04
2.200000000000000000000000000000e+01;8.967663698683454587268215618678e-01;8.136375554517576436097670011804e-01;1.417769469799245118935004938976e+00;2.000000000000000000000000000000e+00;1.479895492756819086466180124262e+00;1.980235474558849961823625562829e+00;1.716167753483259783564562894753e+00;0.000000000000000000000000000000e+00;4.451632888446485506253602615345e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.928903989549715668194718176665e-04;1.100000000000000174686654030864e-04;9.040918049054272635171175531710e-05;2.200000000000892105660177389126e-04;2.200000000000516429607411161840e-04
2.300000000000000000000000000000e+01;9.011624861439012645902835174638e-01;8.107564856300720768089718148985e-01;1.414242684099430658051232967409e+00;2.000000000000000000000000000000e+00;1.478980281737762192406648864562e+00;1.979353946422308663244393756031e+00;1.714645060549249366843582720321e+00;0.000000000000000000000000000000e+00;4.446482042775708404605539136867e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.896325835176631786904710708086e-04;1.150000000000000034781205693335e-04;9.463755653842548807089252171920e-05;2.300000000000872310210175974987e-04;2.299999999999573707058081462051e-04
2.400000000000000000000000000000e+01;9.055463812101156584333239152329e-01;8.078930423808902139271026499046e-01;1.410735078484406823662311580847e+00;2.000000000000000000000000000000e+00;1.478068723072045065336510560883e+00;1.978473830244402487110733090958e+00;1.713126737736162752412383269984e+00;0.000000000000000000000000000000e+00;4.441359805139384500476118500245e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.862891467182578325405273300674e-04;1.199999999999999894875757355805e-04;9.887503765794958493582506031672e-05;2.400000000001546675201108405062e-04;2.400000000000889919735125310751e-04
