# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
1.000000000000000000000000000000e+01;2.890220605878046633563371869968e-02;2.981355885087136337041613387555e-02;5.736353489596448911036485895920e-05;1.985989511463742029917511899839e+00;1.393669256496373076714689887012e+00;8.000000000000000444089209850063e-01;1.138304197620835789273030513868e-01;1.196835992017916206267558187903e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.784097014143357578337331648122e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;2.919028439889711362686952611512e-02;2.992884804225522457632457928867e-02;6.275429050369151244212484463958e-05;1.983612607736652044820857554441e+00;1.391987557838702649348761042347e+00;8.000000000000000444089209850063e-01;1.138136455291859361338424605492e-01;1.204357103199193198411753868982e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.802251036512967231461440631435e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;2.948153735922516560652439920887e-02;3.004412952310755655083163162544e-02;6.822080647325918026369073743354e-05;1.981223629802528973797848266258e+00;1.390295756325806264541711243510e+00;8.000000000000000444089209850063e-01;1.137966289656563573240433129286e-01;1.211926885184045525958862477012e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.820564415550288345831825287391e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;2.977599687894927349418594531016e-02;3.015939178789765057198124509341e-02;7.376375122395658126810830124143e-05;1.978822531620009428365847270470e+00;1.388593797482937208798148276401e+00;8.000000000000000444089209850063e-01;1.137793674919877207063478863347e-01;1.219545482519329444165423481650e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.839037500523057507137089650051e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;3.007369505709129448023375630328e-02;3.027462314165628096129800894687e-02;7.938379080405918108119533993516e-05;1.976409267540864655998689158878e+00;1.386881626999253436238745962328e+00;8.000000000000000444089209850063e-01;1.137618585127882636642837610452e-01;1.227213035894853931234704802478e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.857670608812230690913731845360e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;3.037466414804450634545851528401e-02;3.038981169983683006119434821812e-02;8.508158861758258000550225741421e-05;1.973983792323474872887345554773e+00;1.385159190741465984331171057420e+00;8.000000000000000444089209850063e-01;1.137440994170130642570981649442e-01;1.234929682054352727965662595011e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.876464025008557233355904747540e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;3.067893655693030435793744459261e-02;3.050494538826448859270001889854e-02;9.085780514515792987296355365245e-05;1.971546061146440376177224607090e+00;1.383426434767743629095093638171e+00;8.000000000000000444089209850063e-01;1.137260875782066804617898014840e-01;1.242695553706456160561466539605e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.895418000002727193747768807963e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;3.098654483477444876449169441912e-02;3.062001194317611613149310301196e-02;9.671309765904603198034827915563e-05;1.969096029622326549102240278444e+00;1.381683305341873335692071123049e+00;8.000000000000000444089209850063e-01;1.137078203547569887899015839139e-01;1.250510779435724546121422307010e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.914532750069617946572092526125e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;3.129752167350028507764037044581e-02;3.073499891135329786795438167246e-02;1.026481199323136568471795393442e-04;1.966633653811539650391182476596e+00;1.379929748947680501203194580739e+00;8.000000000000000444089209850063e-01;1.136892950901606663682841258378e-01;1.258375483613800426690998435220e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.933808455947191929963531464853e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;3.161189990073683814264526859006e-02;3.084989365035095687517241458409e-02;1.086635219421997600565757413626e-04;1.964158890236333387946388029377e+00;1.378165712303700995988720023888e+00;8.000000000000000444089209850063e-01;1.136705091132998446390445224097e-01;1.266289786310740130351182308743e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.953245261910598493614553416986e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
