# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
1.000000000000000000000000000000e+01;4.526503276680278464727535947532e-02;nan;9.905955327343729304931385648558e-05;nan;nan;7.989067356045793655283659973065e-01;1.118628230417261087970004496128e-01;nan;1.368451746706623691537257903050e-04;nan;1.000000000000000000000000000000e+00;6.777910935250654279917339447908e-09;5.007516193295002970842233480653e-01;4.992483806704998139380791144504e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;4.526515297610884946966081088249e-02;nan;9.904594301014281714640175025011e-05;nan;nan;7.987974090728000575722944631707e-01;1.118474365126069514086992739976e-01;nan;1.368639248381007221533334217156e-04;nan;1.000000000000000000000000000000e+00;6.777908249829496648522745048471e-09;5.008199484223478936684159634751e-01;4.991800515776521618427352677827e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;4.526527318538689503846228490147e-02;nan;9.903233276119480254541527219914e-05;nan;nan;7.986880825242437254019023384899e-01;1.118320500027943087406612221457e-01;nan;1.368826801435377984658692263054e-04;nan;1.000000000000000000000000000000e+00;6.777905564609511823642884638646e-09;5.008882775256819908094030324719e-01;4.991117224743180091905969675281e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;4.526539339463706013155785967683e-02;nan;9.901872252661688485371460632933e-05;nan;nan;7.985787559589092587941649981076e-01;1.118166635122873620034056330041e-01;nan;1.369014405891195865563880751381e-04;nan;1.000000000000000000000000000000e+00;6.777902879594081319621874995567e-09;5.009566066395035877079067176965e-01;4.990433933604963567809420510457e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;4.526551360385927536000849613629e-02;nan;9.900511230639849310011801897247e-05;nan;nan;7.984694293767944373030331917107e-01;1.118012770410862222192349690886e-01;nan;1.369202061769452102510391533485e-04;nan;1.000000000000000000000000000000e+00;6.777900194781847733074516600821e-09;5.010249357638137945869516443054e-01;4.989750642361862054130483556946e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;4.526563381305350602934467474370e-02;nan;9.899150210054247331532828457767e-05;nan;nan;7.983601027778981507054822941427e-01;1.117858905891903897877881490786e-01;nan;1.369389769091337698009996914905e-04;nan;1.000000000000000000000000000000e+00;6.777897510173327224703042543676e-09;5.010932648986134996249575124239e-01;4.989067351013865558861937188340e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;4.526575402221985622297495410749e-02;nan;9.897789190905588636599371499258e-05;nan;nan;7.982507761622186226446729051531e-01;1.117705041565995593977334010560e-01;nan;1.369577527878115211917853244472e-04;nan;1.000000000000000000000000000000e+00;6.777894825769604228290509843413e-09;5.011615940439037020226464846928e-01;4.988384059560964089996559778228e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;4.526587423135827042974810296982e-02;nan;9.896428173192313329335767502215e-05;nan;nan;7.981414495297542988083705495228e-01;1.117551177433136200267682625054e-01;nan;1.369765338150740645924846594639e-04;nan;1.000000000000000000000000000000e+00;6.777892141568643879530038051954e-09;5.012299231996854009807407237531e-01;4.987700768003147100415617387625e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;4.526599444046874171077021742349e-02;nan;9.895067156914883550918038412902e-05;nan;nan;7.980321228805035138620382895169e-01;1.117397313493321830968341146217e-01;nan;1.369953199930465988914951580568e-04;nan;1.000000000000000000000000000000e+00;6.777889457571200567140275530537e-09;5.012982523659595956999623922457e-01;4.987017476340405153223400702700e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;4.526611464955132557719252872630e-02;nan;9.893706142073799389598243170241e-05;nan;nan;7.979227962144648245157441124320e-01;1.117243449746549988077504167450e-01;nan;1.370141113238557053349842007606e-04;nan;1.000000000000000000000000000000e+00;6.777886773778072520412335950869e-09;5.013665815427272853810336528113e-01;4.986334184572727701301175784465e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
