# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
0.000000000000000000000000000000e+00;4.591069625855052904750408515611e-02;3.936758684969744737092156583458e-02;nan;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;nan;nan;1.954640949327044168598588314012e-03;nan;1.000000000000000000000000000000e+00;nan;3.847474866630374727748467589272e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.000000000000000000000000000000e+00;4.656691881683146239101489527457e-02;3.954722387560048735277717923964e-02;nan;1.596872574481077000640993901470e+00;1.395688522145505983118596304848e+00;nan;nan;1.971581452300854350040415496892e-03;nan;0.000000000000000000000000000000e+00;nan;3.898528654156172544055503070837e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
2.000000000000000000000000000000e+00;4.723247344288847293647393144056e-02;3.972569668002368797887768891997e-02;nan;1.593724210131542085022715582454e+00;1.392701889688284344614999099576e+00;nan;nan;1.988646901876118654878267122399e-03;nan;0.000000000000000000000000000000e+00;nan;3.950019181379975906093920956508e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
3.000000000000000000000000000000e+00;4.790745484715221852445310446456e-02;3.990294948146058673366098901170e-02;nan;1.590554855418618851459200413956e+00;1.389690830073046612369580543600e+00;nan;nan;2.005837033371205436332873617289e-03;nan;1.000000000000000000000000000000e+00;nan;4.001940690532699624768972479494e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
4.000000000000000000000000000000e+00;4.859195707858887658403546083719e-02;4.007892595609881258855722307999e-02;nan;1.587364461586011854521416353236e+00;1.386655238093815745159531616082e+00;nan;nan;2.023151548545704028064795565456e-03;nan;1.000000000000000000000000000000e+00;nan;4.054287055606495190082996793457e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
5.000000000000000000000000000000e+00;4.928607345683609641806555146104e-02;4.025356926466651386053996475312e-02;nan;1.584152982717447644134267648042e+00;1.383595012036040072800346933946e+00;nan;nan;2.040590115319528344284272236564e-03;nan;1.000000000000000000000000000000e+00;nan;4.107051777390423482044096159527e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
6.000000000000000000000000000000e+00;4.998989650295131148549643285151e-02;4.042682208054719505962992798231e-02;nan;1.580920375799760524415660256636e+00;1.380510053799216985126463441702e+00;nan;nan;2.058152367520535864359176869698e-03;nan;1.000000000000000000000000000000e+00;nan;4.160227978820483769970689502671e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
7.000000000000000000000000000000e+00;5.070351786881199113166118763729e-02;4.059862661916096432390688164560e-02;nan;1.577666600785446959775981667917e+00;1.377400269020124579100183836999e+00;nan;nan;2.075837904661879777801214430610e-03;nan;0.000000000000000000000000000000e+00;nan;4.213808400663455685803554517932e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
8.000000000000000000000000000000e+00;5.142702826521486358934964755463e-02;4.076892466860740360523607250798e-02;nan;1.574391620654617574004419111589e+00;1.374265567196533144311842988827e+00;nan;nan;2.093646291750303391893117677114e-03;nan;1.000000000000000000000000000000e+00;nan;4.267785397553867877875471981142e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
9.000000000000000000000000000000e+00;5.216051738871847059941799784610e-02;4.093765762156484355749341830233e-02;nan;1.571095401476271025131836722721e+00;1.371105861811317883081073887297e+00;nan;nan;2.111577059126588072623942338168e-03;nan;1.000000000000000000000000000000e+00;nan;4.322150934403753318657423476701e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.000000000000000000000000000000e+01;5.290407384728403050733192003463e-02;4.110476650843451762451508102458e-02;nan;1.567777912468814482949142075086e+00;1.367921070456786569735641023726e+00;nan;nan;2.129629702339326524640483739859e-03;nan;0.000000000000000000000000000000e+00;nan;4.376896583204245442036417479414e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.100000000000000000000000000000e+01;5.365778508476985730890618242483e-02;4.127019203171890249226549940431e-02;nan;1.564439126059749440855739521794e+00;1.364711114959134441448895813664e+00;nan;nan;2.147803682053188445433278275232e-03;nan;0.000000000000000000000000000000e+00;nan;4.432013520238400644968984609662e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.200000000000000000000000000000e+01;5.442173730433898237723866486704e-02;4.143387460161841728822906816276e-02;nan;1.561079017944450253452259858022e+00;1.361475921502870445323196690879e+00;nan;nan;2.166098423992818700761775474462e-03;nan;0.000000000000000000000000000000e+00;nan;4.487492523724087199136351111761e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.300000000000000000000000000000e+01;5.519601539084487834552206209082e-02;4.159575437282821142037647632606e-02;nan;1.557697567143952355195324344095e+00;1.358215420755077396108845277922e+00;nan;nan;2.184513318923444850916393278339e-03;nan;0.000000000000000000000000000000e+00;nan;4.543323971905567843550949325149e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.400000000000000000000000000000e+01;5.598070283226336263382449942583e-02;4.175577128251443947970500403244e-02;nan;1.554294756061672000413409477915e+00;1.354929547989356830584029012243e+00;nan;nan;2.203047722669310756055116584662e-03;nan;1.000000000000000000000000000000e+00;nan;4.599497841612202751662014099665e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.500000000000000000000000000000e+01;5.677588164024319206113489144627e-02;4.191386508944539013299390717293e-02;nan;1.550870570538973369778545929876e+00;1.351618243209308012353631056612e+00;nan;nan;2.221700956170951941209823488066e-03;nan;1.000000000000000000000000000000e+00;nan;4.656003707302054466215385231109e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.600000000000000000000000000000e+01;5.758163226985110738631590265868e-02;4.206997541425056691410944154086e-02;nan;1.547424999909509324425016529858e+00;1.348281451271400310787385024014e+00;nan;nan;2.240472305582288502917576167306e-03;nan;1.000000000000000000000000000000e+00;nan;4.712830740607809121636706528591e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.700000000000000000000000000000e+01;5.839803353859306100925863347584e-02;4.222404178077679426372981197346e-02;nan;1.543958037052246545783873443725e+00;1.344919122007048439826348840143e+00;nan;nan;2.259361022408544299178156933294e-03;nan;0.000000000000000000000000000000e+00;nan;4.769967710401848225544932380338e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
1.800000000000000000000000000000e+01;5.922516254479519987041769013558e-02;4.237600365850850703264285357363e-02;nan;1.540469678443096235298526153201e+00;1.341531210343762881009865850501e+00;nan;nan;2.278366323685853279262802928429e-03;nan;1.000000000000000000000000000000e+00;nan;4.827402983396715736071763691584e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;nan;nan
