iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.045806538145351974,2.2940334427903854e-05,0.0445202110333416,0.0027253669326835466,3.9013056372056065e-06,2.953028081216609e-07,0.0017255669994628818,6.528255191492888e-05,0.0001,0.0,60705.6
1,0.0463730217865733,2.0593445722200503e-05,0.04530720521276599,0.0021258838014735866,4.041707296145853e-06,1.315190341761077e-07,0.0017583216044091327,2.8862926671252325e-05,0.0001,0.0,121372.8
2,0.04694774346795004,4.0242233696322336e-05,0.04734088818513453,0.0022183333767245555,4.1099472837670094e-06,3.481928452204105e-07,0.0017727493518068967,7.44003212502702e-05,0.0001,0.0,181831.2
3,0.04751107476319085,3.6947628290468314e-05,0.04534565142672612,0.0020259962270827844,3.991114329169736e-06,3.366365694872907e-07,0.0017468594085435604,7.3741312928243e-05,0.0001,0.0,242510.8
4,0.04810460136960616,4.880469761156296e-05,0.04798460609284457,0.0011016394528318523,4.284613823357382e-06,2.919713840374963e-07,0.001812739149908012,6.127974854690702e-05,0.0001,0.0,302978.2
5,0.048686030716289734,5.235880688243376e-05,0.048868483971949504,0.001031952429771797,4.0368933408628795e-06,2.856263986433651e-07,0.0017597732841885812,6.210588316366552e-05,0.0001,0.0,363342.6
6,0.04926050072432473,5.5553984102269796e-05,0.04725377353454678,0.0019296912520116538,3.994479175857711e-06,1.894500906974047e-07,0.0017518829733361822,4.158566089148399e-05,0.0001,0.0,423806.8
7,0.04985636018262063,5.255230649501469e-05,0.048915370324021636,0.0013643590827870406,4.2520191008214334e-06,2.0810138348923988e-07,0.001807928727089286,4.45979067912864e-05,0.0001,0.0,484188.4
8,0.05046122974137237,3.610364212502075e-05,0.049650241046008264,0.001983871175757307,4.364753654493583e-06,3.333257652534795e-07,0.001831486133369383,6.84180633072347e-05,0.0001,0.0,544529.6
9,0.05107312360323953,5.184399619133862e-05,0.050359747854683536,0.002123161912542781,4.385476260001429e-06,2.8019508619535327e-07,0.0018370531721750723,5.965263783003469e-05,0.0001,0.0,604815.4
10,0.05167986131055722,5.8159700084108764e-05,0.05035785451829842,0.0027468875402365538,4.330223698809526e-06,4.142277840570618e-07,0.0018254926673677313,8.721433275845078e-05,0.0001,0.0,665141.6
11,0.05230449617338956,6.495890368506731e-05,0.052344873882706436,0.0009850793395691595,4.471031924190667e-06,1.2076393836193797e-07,0.0018580400017635143,2.4675784020697685e-05,0.0001,0.0,725286.6
12,0.05292683753982071,6.911318721923487e-05,0.052117346481267104,0.0020509467272696513,4.414324376995773e-06,2.3937329716660233e-07,0.0018465562594486833,4.928848421495748e-05,0.0001,0.0,785479.8
13,0.05355907928111585,7.126776235671605e-05,0.05146984392523764,0.0005168010136659942,4.46917986384923e-06,2.2994869981941153e-07,0.0018584409134940693,4.662223860888752e-05,0.0001,0.0,845663.8
14,0.05419641308919747,6.908278995073498e-05,0.052405837088804565,0.000800186371567828,4.513493776663092e-06,1.6002638208859082e-07,0.001868640516008933,3.342665812467686e-05,0.0001,0.0,905841.4
15,0.054852954359208304,6.790684483086297e-05,0.0555726209793148,0.0015487212599928342,4.763277727968905e-06,2.355511664738434e-07,0.001920379597465599,4.740700068350569e-05,0.0001,0.0,965723.8
16,0.05551516520887149,7.553487154133603e-05,0.05502187602800242,0.0026072356354801965,4.755393822928626e-06,1.756428516212166e-07,0.0019204185569381793,3.543498998522329e-05,0.0001,0.0,1025690.8
17,0.0561656255114089,8.146558228085607e-05,0.052393126122936354,0.0016903497145586651,4.562856846898145e-06,2.805513803072682e-07,0.0018808906404540321,5.809081567388304e-05,0.0001,0.0,1085827.8
18,0.056835873323143535,7.561939135851064e-05,0.054785468907683585,0.002086982158302215,4.813313401893393e-06,3.192626618063823e-07,0.0019334239541497489,6.414077746649474e-05,0.0001,0.0,1145806.4
19,0.05748992738200457,0.00011345056610060012,0.05723230805066365,0.0018216713439680912,4.700645478312568e-06,3.937320740629578e-07,0.0018746288853931114,0.00014694016580728072,0.0001,0.0,1205653.6
20,0.05816425577273562,0.0001335885251337109,0.0562038946295774,0.002445183635602046,4.7624022895989485e-06,4.525475549485289e-07,0.001924316263765784,9.171934605140087e-05,0.0001,0.0,1265563.0
21,0.0588656360543258,0.00015636431093588233,0.05868845753281034,0.00406705012486107,5.155204438696131e-06,4.254750680302553e-07,0.002002889821874195,8.189241981169884e-05,0.0001,0.0,1325267.4
22,0.059530368439365836,0.00011952312080083822,0.05798862377937719,0.0015013715428004108,4.754884631851714e-06,3.6268012750061505e-07,0.0018888764781376487,0.00014471740751906395,0.0001,0.0,1385048.8
23,0.0602421226381906,0.00012270809542459132,0.059494647142789146,0.002055325242340321,5.1364125158463225e-06,3.58621016205087e-07,0.0020014151461651094,7.22639239100669e-05,0.0001,0.0,1444729.0
24,0.06096695824979316,0.00012694804975956,0.06132631809823351,0.0019303514120973353,5.307921015664358e-06,3.4902686086262205e-07,0.0020364008138081128,6.612123563508791e-05,0.0001,0.0,1504258.0
25,0.06166549409809309,0.00016663950743777266,0.06008207104202683,0.0028260475457749282,5.001325486777508e-06,4.882017875334124e-07,0.001975091618338286,9.744080754369241e-05,0.0001,0.0,1563857.0
26,0.06238738683427013,0.00016218010640564522,0.061070038080811975,0.0017797809186605568,5.134132615384946e-06,3.0280539322740464e-07,0.002006965654419108,6.093788996603303e-05,0.0001,0.0,1623349.8
27,0.06307703765540143,0.00020143513467110196,0.06113971633146189,0.0018249875640758751,4.8970533962749605e-06,3.6311497233036366e-07,0.0019225329145725449,0.00013786873219272084,0.0001,0.0,1682858.8
28,0.06384071936025397,0.00020923845272006024,0.06445804299754357,0.003468894149579312,5.629650416580091e-06,4.592949286744592e-07,0.002102212295661563,8.912987265148339e-05,0.0001,0.0,1742140.4
29,0.06455367439097506,0.00020543758224059194,0.06298427170577814,0.002320292093122272,5.081762679030477e-06,2.7889118519975545e-07,0.0019606345940374166,0.00012812463629379616,0.0001,0.0,1801491.0
30,0.06532536786769948,0.00021837874963295185,0.06542496813332388,0.0020144341531256357,5.806476748096114e-06,3.088873207607762e-07,0.002135586524741294,5.721587667581255e-05,0.0001,0.0,1860712.4
31,0.06609924212936776,0.00021063226248736432,0.06724322580665483,0.0024152415769102117,5.734396426546412e-06,5.03038755592294e-07,0.002122005860275516,9.368318905892069e-05,0.0001,0.0,1919776.8
32,0.06685046399605389,0.00021472792565544534,0.0650279317405453,0.0020661573717294024,5.374961013358715e-06,2.8702225911526623e-07,0.0020571892982907893,5.536215035112237e-05,0.0001,0.0,1978998.6
33,0.06759914871259472,0.0002133443194177799,0.06680760287855754,0.0020657133149911337,5.418357097702005e-06,3.6851638034994284e-07,0.0020293856604076893,0.00014363467544470178,0.0001,0.0,2038045.8
34,0.06840598516899045,0.00021494870887485328,0.0688572155950396,0.00028820364312382406,6.0128880229889385e-06,2.1792425722680582e-07,0.002183018385600575,4.0579227898554946e-05,0.0001,0.0,2097025.2
