iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.04580878175791256,2.337618767546516e-05,0.04446831607783718,0.002248059298329128,4.0874004468781565e-06,2.497447028811005e-07,0.0017701944793625565,5.316058772809986e-05,0.0001,0.0,30347.6
1,0.046406723542800656,3.840815955437081e-05,0.04602487765252785,0.0022026623517118833,4.7111111720181044e-06,5.751276294678768e-07,0.0018981042388576245,0.00011607693132800214,0.0001,0.0,60645.2
2,0.047003672822128806,4.817345853610702e-05,0.04660330087129352,0.0013498303504307482,4.734385526278343e-06,2.960654052118546e-07,0.0019053169964458755,5.983063104841965e-05,0.0001,0.0,90931.0
3,0.04761888061003553,4.774695103699746e-05,0.04943397811502201,0.0023746793601264627,4.795076990119726e-06,3.653672999490374e-07,0.0019180531890250908,7.213919969155066e-05,0.0001,0.0,121108.8
4,0.048231866551163,8.210537592107717e-05,0.0485404931671763,0.00157576492169882,4.830334777086935e-06,3.1969981839781867e-07,0.0019282809909661508,6.485019430877609e-05,0.0001,0.0,151347.2
5,0.04884724526930009,6.58893512334518e-05,0.048622730677232204,0.0020321902684047165,4.765840756647511e-06,3.5212553412964455e-07,0.0019136283833159652,7.052412884314455e-05,0.0001,0.0,181552.0
6,0.04946652435318903,5.542376254139219e-05,0.04881859347079513,0.002872356938723671,4.656502486387607e-06,3.711353367762538e-07,0.0018926044213789296,7.434009371512513e-05,0.0001,0.0,211756.0
7,0.05009953962629358,5.963918180612488e-05,0.0513809290369428,0.0021390361935940605,4.959765872069284e-06,1.8464753673666856e-07,0.0019554249015290236,3.7131647288201826e-05,0.0001,0.0,241840.2
8,0.05071145710786836,6.043241447890053e-05,0.049541399235667194,0.002743293749897035,4.5609514054740545e-06,3.169240891586093e-07,0.0018778688839335357,6.495180277251225e-05,0.0001,0.0,271972.6
9,0.05134983918246483,6.70863757628873e-05,0.049515213567795445,0.0020540069024617843,4.933406199410802e-06,3.6151563130627515e-07,0.0019509431055377766,7.047513065161639e-05,0.0001,0.0,302130.6
10,0.05199479576691747,7.472934687813754e-05,0.05189010484436747,0.002753317091237284,4.889219553124576e-06,1.579624129962378e-07,0.0019435839443783666,3.137163151103202e-05,0.0001,0.0,332231.2
11,0.0526355714348701,6.80543448668436e-05,0.05187109827249994,0.0024881496480673062,4.901392491046985e-06,3.527501985139242e-07,0.0019467214373030302,6.80034077905382e-05,0.0001,0.0,362367.6
12,0.053292625440419836,0.00011020564682658342,0.053311749856697045,0.002967130898342756,5.230793989377604e-06,7.916657600961977e-07,0.001970377201782317,0.00020439815819628488,0.0001,0.0,392406.6
13,0.05396320111312318,0.0001144074398950076,0.05326133612580519,0.0024738736479798084,5.285625377970733e-06,5.455382191522867e-07,0.0020213472923763043,0.00010609294953986775,0.0001,0.0,422459.4
14,0.05461993407264465,0.00011530105322789616,0.05362951418380187,0.003755519995959704,4.980203085026821e-06,3.8575734556023806e-07,0.0019644539009592114,7.419398542625646e-05,0.0001,0.0,452480.6
15,0.05530346614145546,0.00012510464663331155,0.051966072693898434,0.0020966693119831045,5.209676619031134e-06,2.2284130215172712e-07,0.0020128891879360707,4.394817499922136e-05,0.0001,0.0,482575.8
16,0.05597514008402179,0.00014277350159803872,0.055500505202027664,0.0011850007967450467,5.089059793315172e-06,2.634111109000064e-07,0.0019886498271236173,5.210371977199701e-05,0.0001,0.0,512519.2
17,0.05665081579747059,0.00014108205802355428,0.05639793791630441,0.002054769099200874,5.0888976277029625e-06,4.3206027737255544e-07,0.0019879301624868085,8.431151965914862e-05,0.0001,0.0,542430.0
18,0.05735251466823933,0.00015740113952913233,0.05619532107764151,0.0017517925013071749,5.534322547307897e-06,4.090024003124549e-07,0.0020744260620202005,7.572818574120363e-05,0.0001,0.0,572347.2
19,0.058064018911921714,0.000151923092714179,0.05699833650758353,0.0036157557389459765,5.52822169895938e-06,6.392254822108463e-07,0.0020725108204644087,0.0001239340900757014,0.0001,0.0,602288.6
20,0.058746052105517955,0.00016609861347502734,0.055195986685273646,0.0026216667480804447,5.19882934726644e-06,2.755764556318575e-07,0.0020130715222073303,5.332937209633361e-05,0.0001,0.0,632238.8
21,0.05947991627176426,0.00017557997415206902,0.05809422149115795,0.0019423947340791422,5.723951516110371e-06,2.6663430773284767e-07,0.00211510023388001,4.828579431439618e-05,0.0001,0.0,662093.2
22,0.060180582371069935,0.00019735860809297947,0.05853300894024814,0.0026457655357188777,5.349619387700122e-06,4.4594398675279756e-07,0.002006364984197962,0.00015838051802824474,0.0001,0.0,691961.4
23,0.060914603861864355,0.0001957883951159409,0.06127647930454723,0.0039795059818659075,5.678788000813233e-06,3.661257543392849e-07,0.0021080796822806067,6.874083103843247e-05,0.0001,0.0,721755.6
24,0.06162613555152385,0.0002089290671390046,0.05821670242015388,0.003905212563312371,5.493604284577161e-06,6.069997128323094e-07,0.002070927611701153,0.00011967714365674458,0.0001,0.0,751592.8
25,0.06237516878227485,0.0001724804380304355,0.06175483535733535,0.003301612835045411,5.871645288805297e-06,6.278036527497045e-07,0.002142650040881115,0.00011940834923431614,0.0001,0.0,781328.0
26,0.06313255806231262,0.000164088673815108,0.06223518319990577,0.00278163143810272,5.999242448396087e-06,4.3403754987277374e-07,0.0021698817458101383,7.819697197467929e-05,0.0001,0.0,811065.4
